source,sourceID,scientificName,year,latitude,longitude
OBIS,42103f61-70f5-4525-8324-6d80d0891773,Codium fragile subsp. fragile,2000,41.52246857,-70.66726685
OBIS,6ce73a3d-402b-498d-8b77-6fce32ae624f,Codium fragile subsp. fragile,2007,41.52246857,-70.66726685
OBIS,8a536bdf-807c-48be-a431-07c91c98f67f,Codium fragile subsp. fragile,2003,41.52246857,-70.66726685
OBIS,b144ce7e-dbfc-43ed-9731-b360745d4021,Codium fragile subsp. fragile,2000,41.52246857,-70.66726685
OBIS,b5f90d99-49e9-4915-8b00-49eb1d4d7da6,Codium fragile subsp. fragile,2003,41.52246857,-70.66726685
OBIS,ec330545-615c-4c71-8324-9e0ad18d0768,Codium fragile subsp. fragile,2003,41.52246857,-70.66726685
OBIS,f84a436e-a1d2-41f1-abef-518c1b16b470,Codium fragile subsp. fragile,2003,41.52246857,-70.66726685
GBIF,2005082465,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1983,41.524248,-70.675401
MHP,8081,Codium fragile subsp. tomentosoides,1983,41.524248,-70.675401
GBIF,1988807908,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1962,41.524694,-70.674178
MHP,549144,Codium fragile subsp. tomentosoides,1962,41.524694,-70.674178
GBIF,2005082531,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1969,41.525524,-70.671324
MHP,8083,Codium fragile subsp. tomentosoides,1969,41.525524,-70.671324
GBIF,2005082512,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1973,41.526497,-70.673084
MHP,8082,Codium fragile subsp. tomentosoides,1973,41.526497,-70.673084
MHP,94684,Codium fragile subsp. tomentosoides,1967,41.526497,-70.673084
MHP,94939,Codium fragile subsp. tomentosoides,1973,41.526497,-70.673084
MHP,595339,Codium fragile subsp. fragile,1978,41.526497,-70.673084
MHP,1054919,Codium fragile subsp. tomentosoides,1979,41.526667,-70.67
MHP,1054920,Codium fragile subsp. tomentosoides,1979,41.526667,-70.67
GBIF,2005082461,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1969,41.542147,-70.608327
MHP,8068,Codium fragile subsp. tomentosoides,1969,41.542147,-70.608327
GBIF,2028419046,Codium fragile subsp. fragile,1980,41.542248,-70.614752
MHP,969586,Codium fragile subsp. tomentosoides,1982,41.549,-70.65453
GBIF,2005082460,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,,41.549956,-70.607371
GBIF,2005082421,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1995,41.549956,-70.607371
MHP,8066,Codium fragile subsp. tomentosoides,1995,41.549956,-70.607371
MHP,8067,Codium fragile subsp. tomentosoides,,41.549956,-70.607371
MHP,94943,Codium fragile subsp. tomentosoides,1982,41.55,-70.655
GBIF,2005082539,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.56497,-70.654028
GBIF,2005082527,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.56497,-70.654028
GBIF,2005082523,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.56497,-70.654028
GBIF,2005082516,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.56497,-70.654028
GBIF,2005082510,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,,41.56497,-70.654028
GBIF,2005082496,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.56497,-70.654028
MHP,8070,Codium fragile subsp. tomentosoides,1966,41.56497,-70.654028
MHP,8071,Codium fragile subsp. tomentosoides,,41.56497,-70.654028
MHP,8072,Codium fragile subsp. tomentosoides,1966,41.56497,-70.654028
MHP,8073,Codium fragile subsp. tomentosoides,1966,41.56497,-70.654028
MHP,8074,Codium fragile subsp. tomentosoides,1966,41.56497,-70.654028
MHP,8075,Codium fragile subsp. tomentosoides,1966,41.56497,-70.654028
GBIF,2005082458,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.570613,-70.648259
MHP,8069,Codium fragile subsp. tomentosoides,1966,41.570613,-70.648259
GBIF,2005082628,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1971,41.595206,-71.354056
MHP,8128,Codium fragile subsp. tomentosoides,1971,41.595206,-71.354056
MHP,595337,Codium fragile subsp. fragile,1969,41.600038,-70.644775
MHP,637910,Codium fragile subsp. tomentosoides,1979,41.604274,-70.634475
MHP,94931,Codium fragile subsp. tomentosoides,1979,41.606667,-70.65
MHP,94950,Codium fragile subsp. tomentosoides,1979,41.60684,-70.65127
MHP,94927,Codium fragile subsp. tomentosoides,1979,41.6071,-70.65102
OBIS,0036984f-956e-4112-8927-2808234ca5d2,Codium fragile subsp. fragile,2009,41.60749054,-70.40155029
OBIS,45686484-71ff-4d1f-b443-fda2f7654690,Codium fragile subsp. fragile,2009,41.60749054,-70.40155029
OBIS,c60da409-3dc3-4484-ac45-8b1a1dc31c4a,Codium fragile subsp. fragile,2009,41.60749054,-70.40155029
OBIS,ff06bb32-57e3-46ee-b27c-c12d365fe07a,Codium fragile subsp. fragile,2009,41.60749054,-70.40155029
GBIF,1988601232,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1973,41.616777,-70.43697
MHP,549146,Codium fragile subsp. tomentosoides,1973,41.616777,-70.43697
OBIS,0266d871-da20-4d90-9bcd-37b06eaaae6c,Codium fragile subsp. fragile,2009,41.6207428,-71.40931702
OBIS,208711f8-a8c6-4320-8d63-51de8d9e9735,Codium fragile subsp. fragile,2009,41.6207428,-71.40931702
OBIS,7d6e4553-f10d-40f4-bfc9-771715c96c9b,Codium fragile subsp. fragile,2003,41.62131119,-71.41132355
OBIS,8c163891-2cd0-4b06-9b63-d69a190fe8aa,Codium fragile subsp. fragile,2003,41.62131119,-71.41132355
OBIS,aac84467-838a-4559-97b1-7ae2af141b0d,Codium fragile subsp. fragile,2003,41.62131119,-71.41132355
OBIS,fab66a75-e6da-4cfa-b7b1-4476404231f6,Codium fragile subsp. fragile,2003,41.62131119,-71.41132355
OBIS,1203fc79-ea75-438a-82f2-d63002d1fe52,Codium fragile subsp. fragile,2009,41.62191391,-70.39533234
OBIS,577926ed-c925-4899-a28b-73128ed0fb56,Codium fragile subsp. fragile,2009,41.62191391,-70.39533234
OBIS,78b2b479-48a4-44c1-a16e-3a425388cf58,Codium fragile subsp. fragile,2009,41.62191391,-70.39533234
OBIS,be8253e9-34fc-4358-b0c1-ada1d64bdf70,Codium fragile subsp. fragile,2009,41.62191391,-70.39533234
OBIS,562c37df-13e7-4b67-b485-b677bdb06c0a,Codium fragile subsp. fragile,2009,41.62221527,-70.26498413
OBIS,56f9638b-4329-4c51-929f-27bb7caae8ce,Codium fragile subsp. fragile,2009,41.62221527,-70.26498413
