codium_fragile,latitude,longitude
codium_fragile,41.503333,-71.02
codium_fragile,41.505444,-70.696179
codium_fragile,41.50550079,-71.3253479
codium_fragile,41.505645,-71.326009
codium_fragile,41.505645,-71.326009
codium_fragile,41.509615,-70.687586
codium_fragile,41.509615,-70.687586
codium_fragile,41.510338,-70.687103
codium_fragile,41.51361847,-71.07692719
codium_fragile,41.51361847,-71.07692719
codium_fragile,41.51404,-70.69621
codium_fragile,41.515045,-70.655627
codium_fragile,41.515045,-70.655627
codium_fragile,41.515045,-70.655627
codium_fragile,41.515045,-70.655627
codium_fragile,41.515045,-70.655627
codium_fragile,41.515045,-70.655627
codium_fragile,41.515109,-70.696697
codium_fragile,41.515109,-70.696697
codium_fragile,41.515175,-70.655506
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51651,-71.07708
codium_fragile,41.51664,-70.66874
codium_fragile,41.517369,-70.658857
codium_fragile,41.517369,-70.658857
codium_fragile,41.517609,-70.659196
codium_fragile,41.518304,-70.656036
codium_fragile,41.520711,-70.666719
codium_fragile,41.520711,-70.666719
codium_fragile,41.520711,-70.666719
codium_fragile,41.520711,-70.666719
codium_fragile,41.521581,-70.670337
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.52246857,-70.66726685
codium_fragile,41.524248,-70.675401
codium_fragile,41.524248,-70.675401
codium_fragile,41.524694,-70.674178
codium_fragile,41.524694,-70.674178
codium_fragile,41.525524,-70.671324
codium_fragile,41.525524,-70.671324
codium_fragile,41.526497,-70.673084
codium_fragile,41.526497,-70.673084
codium_fragile,41.526497,-70.673084
